time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
32,3.32478e-34,-3.94213e-26,3.97667e-25,2.13838e-10,9.96307e-21,1.66055e-05,1.61584e-52,4.59489e-13,1.0284e-49,3.84593e-26,7.26474e-11,3.199e-41
33,3.32425e-34,-5.55572e-26,4.09954e-25,2.18575e-10,9.96306e-21,1.66055e-05,1.71486e-52,4.97521e-13,1.09284e-49,5.41597e-26,7.68394e-11,3.29868e-41
34,3.32372e-34,-7.47151e-26,4.22292e-25,2.23228e-10,9.96305e-21,1.66055e-05,1.81609e-52,5.37862e-13,1.15925e-49,7.27993e-26,8.11137e-11,3.39835e-41
35,3.32319e-34,-9.68947e-26,4.34681e-25,2.27795e-10,9.96304e-21,1.66055e-05,1.91953e-52,5.8051e-13,1.22762e-49,9.43781e-26,8.54703e-11,3.49799e-41
36,3.32265e-34,-1.22096e-25,4.47121e-25,2.32278e-10,9.96302e-21,1.66055e-05,2.02518e-52,6.25465e-13,1.29794e-49,1.18896e-25,8.99093e-11,3.59762e-41
37,3.32212e-34,-1.5032e-25,4.59612e-25,2.36677e-10,9.96301e-21,1.66054e-05,2.13305e-52,6.72728e-13,1.37022e-49,1.46353e-25,9.44307e-11,3.69722e-41
38,3.32159e-34,-1.81565e-25,4.72154e-25,2.4099e-10,9.963e-21,1.66054e-05,2.24313e-52,7.22299e-13,1.44446e-49,1.76749e-25,9.90345e-11,3.79682e-41
39,3.32106e-34,-2.15832e-25,4.84748e-25,2.45219e-10,9.96299e-21,1.66054e-05,2.35541e-52,7.74177e-13,1.52066e-49,2.10084e-25,1.03721e-10,3.89639e-41
40,3.32053e-34,-2.53121e-25,4.97392e-25,2.49363e-10,9.96298e-21,1.66054e-05,2.46991e-52,8.28363e-13,1.59882e-49,2.46359e-25,1.08489e-10,3.99595e-41
41,3.32e-34,-2.93432e-25,5.10087e-25,2.53423e-10,9.96296e-21,1.66054e-05,2.58663e-52,8.84857e-13,1.67893e-49,2.85573e-25,1.1334e-10,4.09548e-41
42,3.31947e-34,-3.36765e-25,5.22834e-25,2.57398e-10,9.96295e-21,1.66054e-05,2.70555e-52,9.43658e-13,1.761e-49,3.27725e-25,1.18273e-10,4.195e-41
43,3.31894e-34,-3.83119e-25,5.35631e-25,2.61288e-10,9.96294e-21,1.66054e-05,2.82669e-52,1.00477e-12,1.84503e-49,3.72817e-25,1.23289e-10,4.29451e-41
44,3.3184e-34,-4.32496e-25,5.4848e-25,2.65094e-10,9.96293e-21,1.66054e-05,2.95004e-52,1.06818e-12,1.93102e-49,4.20848e-25,1.28387e-10,4.39399e-41
45,3.31787e-34,-4.84894e-25,5.61379e-25,2.68815e-10,9.96292e-21,1.66054e-05,3.0756e-52,1.13391e-12,2.01897e-49,4.71818e-25,1.33567e-10,4.49346e-41
46,3.31734e-34,-5.40314e-25,5.7433e-25,2.72451e-10,9.96291e-21,1.66054e-05,3.20337e-52,1.20194e-12,2.10887e-49,5.25728e-25,1.3883e-10,4.59291e-41
47,3.31681e-34,-5.98756e-25,5.87332e-25,2.76002e-10,9.9629e-21,1.66054e-05,3.33335e-52,1.27228e-12,2.20073e-49,5.82576e-25,1.44175e-10,4.69234e-41
48,3.31628e-34,-6.6022e-25,6.00384e-25,2.79469e-10,9.96288e-21,1.66053e-05,3.46555e-52,1.34492e-12,2.29456e-49,6.42364e-25,1.49602e-10,4.79176e-41
49,3.31575e-34,-7.24706e-25,6.13488e-25,2.82851e-10,9.96287e-21,1.66053e-05,3.59995e-52,1.41988e-12,2.39033e-49,7.0509e-25,1.55112e-10,4.89115e-41
50,3.31522e-34,-8.28496e-25,6.27643e-25,2.86151e-10,9.96286e-21,1.66053e-05,3.73642e-52,1.49719e-12,2.48807e-49,8.06043e-25,1.60702e-10,4.99053e-41
51,3.31469e-34,-1.38215e-24,6.54166e-25,2.89392e-10,9.96285e-21,1.66053e-05,3.8732e-52,1.57744e-12,2.58774e-49,1.34451e-24,1.66348e-10,5.08989e-41
52,3.31416e-34,-2.50108e-24,6.96237e-25,2.9258e-10,9.96284e-21,1.66053e-05,4.00979e-52,1.6608e-12,2.68935e-49,2.43275e-24,1.72043e-10,5.18924e-41
53,3.31363e-34,-4.1853e-24,7.53858e-25,2.95717e-10,9.96283e-21,1.66053e-05,4.14621e-52,1.74726e-12,2.79288e-49,4.07076e-24,1.77787e-10,5.28856e-41
54,3.3131e-34,-6.4348e-24,8.27028e-25,2.98801e-10,9.96282e-21,1.66053e-05,4.28245e-52,1.83681e-12,2.89835e-49,6.25855e-24,1.8358e-10,5.38787e-41
55,3.31257e-34,-9.24958e-24,9.15748e-25,3.01832e-10,9.9628e-21,1.66053e-05,4.4185e-52,1.92948e-12,3.00575e-49,8.9961e-24,1.89422e-10,5.48716e-41
56,3.31204e-34,-1.26296e-23,1.02002e-24,3.04812e-10,9.96279e-21,1.66053e-05,4.55438e-52,2.02524e-12,3.11508e-49,1.22834e-23,1.95314e-10,5.58644e-41
57,3.31151e-34,-1.6575e-23,1.13983e-24,3.07739e-10,9.96278e-21,1.66053e-05,4.69008e-52,2.1241e-12,3.22634e-49,1.61205e-23,2.01255e-10,5.68569e-41
58,3.31098e-34,-2.10856e-23,1.2752e-24,3.10614e-10,9.96277e-21,1.66053e-05,4.8256e-52,2.22607e-12,3.33953e-49,2.05074e-23,2.07244e-10,5.78493e-41
59,3.31045e-34,-2.61615e-23,1.42612e-24,3.13437e-10,9.96276e-21,1.66052e-05,4.96094e-52,2.33114e-12,3.45466e-49,2.5444e-23,2.13283e-10,5.88415e-41
60,3.30992e-34,-3.18027e-23,1.59258e-24,3.16208e-10,9.96275e-21,1.66052e-05,5.0961e-52,2.43931e-12,3.57172e-49,3.09304e-23,2.19371e-10,5.98336e-41
61,3.30939e-34,-3.80092e-23,1.7746e-24,3.18926e-10,9.96274e-21,1.66052e-05,5.23108e-52,2.55059e-12,3.69071e-49,3.69666e-23,2.25509e-10,6.08254e-41
62,3.30886e-34,-4.4781e-23,1.97216e-24,3.21592e-10,9.96272e-21,1.66052e-05,5.36588e-52,2.66497e-12,3.81163e-49,4.35526e-23,2.31695e-10,6.18171e-41
63,3.30833e-34,-5.2118e-23,2.18527e-24,3.24206e-10,9.96271e-21,1.66052e-05,5.5005e-52,2.78244e-12,3.93448e-49,5.06883e-23,2.3793e-10,6.28086e-41
64,3.3078e-34,-6.00204e-23,2.41393e-24,3.26768e-10,9.9627e-21,1.66052e-05,5.63494e-52,2.90303e-12,4.05926e-49,5.83738e-23,2.44215e-10,6.37999e-41
65,3.30727e-34,-6.8488e-23,2.65815e-24,3.29278e-10,9.96269e-21,1.66052e-05,5.7692e-52,3.02671e-12,4.18598e-49,6.66091e-23,2.50548e-10,6.47911e-41
66,3.30674e-34,-7.75209e-23,2.91791e-24,3.31735e-10,9.96268e-21,1.66052e-05,5.90329e-52,3.15349e-12,4.31462e-49,7.53941e-23,2.56931e-10,6.57821e-41
67,3.30621e-34,-8.71191e-23,3.19322e-24,3.3414e-10,9.96266e-21,1.66052e-05,6.03719e-52,3.28338e-12,4.4452e-49,8.47289e-23,2.63363e-10,6.67729e-41
68,3.30569e-34,-9.72825e-23,3.48407e-24,3.36493e-10,9.96265e-21,1.66052e-05,6.17091e-52,3.41637e-12,4.57771e-49,9.46135e-23,2.69844e-10,6.77635e-41
69,3.30516e-34,-1.08011e-22,3.79048e-24,3.38793e-10,9.96264e-21,1.66052e-05,6.30446e-52,3.55246e-12,4.71216e-49,1.05048e-22,2.76374e-10,6.87539e-41
70,3.30463e-34,-1.19305e-22,4.11244e-24,3.41041e-10,9.96263e-21,1.66052e-05,6.43782e-52,3.69166e-12,4.84853e-49,1.16032e-22,2.82953e-10,6.97442e-41
71,3.3041e-34,-1.31165e-22,4.44995e-24,3.43238e-10,9.96262e-21,1.66051e-05,6.57101e-52,3.83395e-12,4.98683e-49,1.27566e-22,2.89582e-10,7.07343e-41
72,3.30357e-34,-1.43589e-22,4.803e-24,3.45381e-10,9.9626e-21,1.66051e-05,6.70401e-52,3.97935e-12,5.12707e-49,1.3965e-22,2.96259e-10,7.17242e-41
73,3.30304e-34,-2.28123e-22,7.14339e-24,3.47483e-10,9.96258e-21,1.66051e-05,6.81369e-52,4.12808e-12,5.26923e-49,2.21864e-22,3.02976e-10,7.2714e-41
74,3.30251e-34,-4.5672e-22,1.34542e-23,3.49551e-10,9.96255e-21,1.66051e-05,6.87676e-52,4.28035e-12,5.41329e-49,4.44188e-22,3.09722e-10,7.37035e-41
75,3.30199e-34,-8.29382e-22,2.37355e-23,3.51586e-10,9.96249e-21,1.66051e-05,6.89322e-52,4.43616e-12,5.55926e-49,8.06623e-22,3.16498e-10,7.46929e-41
76,3.30146e-34,-1.34611e-21,3.79872e-23,3.53589e-10,9.96242e-21,1.66051e-05,6.86308e-52,4.59553e-12,5.70714e-49,1.30917e-21,3.23303e-10,7.56821e-41
77,3.30093e-34,-2.0069e-21,5.62093e-23,3.55558e-10,9.96233e-21,1.66051e-05,6.78632e-52,4.75844e-12,5.85692e-49,1.95183e-21,3.30137e-10,7.66712e-41
78,3.3004e-34,-2.81175e-21,7.84019e-23,3.57495e-10,9.96222e-21,1.66051e-05,6.66296e-52,4.9249e-12,6.00862e-49,2.73459e-21,3.37001e-10,7.766e-41
79,3.29987e-34,-3.76067e-21,1.04565e-22,3.59398e-10,9.9621e-21,1.66051e-05,6.493e-52,5.09491e-12,6.16222e-49,3.65747e-21,3.43894e-10,7.86487e-41
80,3.29935e-34,-4.85365e-21,1.34698e-22,3.61269e-10,9.96196e-21,1.66051e-05,6.27642e-52,5.26846e-12,6.31772e-49,4.72046e-21,3.50817e-10,7.96373e-41
81,3.29882e-34,-6.09069e-21,1.68802e-22,3.63107e-10,9.9618e-21,1.66051e-05,6.01324e-52,5.44556e-12,6.47514e-49,5.92356e-21,3.57769e-10,8.06256e-41
82,3.29829e-34,-7.4718e-21,2.06877e-22,3.64911e-10,9.96163e-21,1.6605e-05,5.70345e-52,5.62621e-12,6.63446e-49,7.26677e-21,3.6475e-10,8.16138e-41
