time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,1.53132e-25,1.27802e-23,1.28289e-21,8.967e-11,9.96346e-12,1.66057e-05,1.35306e-44,1.47202e-22,3.63273e-39,2.12989e-33,8.83253e-16,1.15577e-35
2,1.53107e-25,5.07823e-23,2.54014e-21,1.79338e-10,9.96345e-12,1.66056e-05,3.80798e-44,1.15274e-21,6.39043e-39,1.65483e-32,3.53298e-15,1.60518e-35
3,1.53083e-25,1.13488e-22,3.77268e-21,2.69003e-10,9.96344e-12,1.66055e-05,7.87053e-44,3.93183e-21,1.0041e-38,5.63342e-32,7.94914e-15,2.0513e-35
4,1.53058e-25,2.00411e-22,4.98101e-21,3.58666e-10,9.96343e-12,1.66054e-05,1.39872e-43,9.37048e-21,1.4577e-38,1.33733e-31,1.41317e-14,2.49415e-35
5,1.53034e-25,3.11087e-22,6.16558e-21,4.48326e-10,9.96342e-12,1.66053e-05,2.25905e-43,1.8333e-20,1.99914e-38,2.60445e-31,2.20805e-14,2.93375e-35
6,1.53009e-25,4.45045e-22,7.32686e-21,5.37985e-10,9.96342e-12,1.66052e-05,3.41192e-43,3.16984e-20,2.62771e-38,4.48339e-31,3.17957e-14,3.37012e-35
7,1.52985e-25,6.01829e-22,8.46532e-21,6.27641e-10,9.96341e-12,1.66051e-05,4.90061e-43,5.03434e-20,3.34268e-38,7.08872e-31,4.32771e-14,3.80329e-35
8,1.52961e-25,7.80983e-22,9.58141e-21,7.17294e-10,9.9634e-12,1.66051e-05,6.76844e-43,7.51453e-20,4.14335e-38,1.05355e-30,5.65247e-14,4.23327e-35
9,1.52936e-25,9.82076e-22,1.06756e-20,8.06945e-10,9.96339e-12,1.6605e-05,9.05776e-43,1.06978e-19,5.02901e-38,1.49323e-30,7.15384e-14,4.6601e-35
10,1.52912e-25,1.20471e-21,1.17482e-20,8.96594e-10,9.96338e-12,1.66049e-05,1.18098e-42,1.46713e-19,5.99898e-38,2.03807e-30,8.83182e-14,5.0838e-35
11,1.52887e-25,1.4488e-21,1.27993e-20,9.86241e-10,9.96338e-12,1.66048e-05,1.50523e-42,1.95179e-19,7.05279e-38,2.68987e-30,1.06864e-13,5.50438e-35
12,1.52863e-25,1.71405e-21,1.38293e-20,1.07588e-09,9.96337e-12,1.66047e-05,1.88227e-42,2.53236e-19,8.1898e-38,3.45642e-30,1.27176e-13,5.92185e-35
13,1.52838e-25,2.00005e-21,1.48385e-20,1.16553e-09,9.96336e-12,1.66046e-05,2.3162e-42,3.21754e-19,9.40933e-38,4.34774e-30,1.49254e-13,6.33625e-35
14,1.52814e-25,2.30642e-21,1.58274e-20,1.25517e-09,9.96335e-12,1.66045e-05,2.81112e-42,4.01602e-19,1.07107e-37,5.37383e-30,1.73098e-13,6.7476e-35
15,1.52789e-25,2.63274e-21,1.67963e-20,1.3448e-09,9.96334e-12,1.66044e-05,3.37111e-42,4.9365e-19,1.20932e-37,6.54472e-30,1.98707e-13,7.15591e-35
16,1.52765e-25,2.97863e-21,1.77457e-20,1.43444e-09,9.96334e-12,1.66043e-05,4.00029e-42,5.98769e-19,1.35563e-37,7.87043e-30,2.26083e-13,7.56121e-35
17,1.5274e-25,3.34369e-21,1.86758e-20,1.52407e-09,9.96333e-12,1.66042e-05,4.70275e-42,7.17829e-19,1.50991e-37,9.36096e-30,2.55224e-13,7.96353e-35
18,1.52716e-25,3.72752e-21,1.95872e-20,1.6137e-09,9.96332e-12,1.66042e-05,5.48259e-42,8.51699e-19,1.67211e-37,1.10263e-29,2.86131e-13,8.36288e-35
19,1.52692e-25,4.12972e-21,2.04803e-20,1.70333e-09,9.96331e-12,1.66041e-05,6.3439e-42,1.00125e-18,1.84215e-37,1.28766e-29,3.18803e-13,8.75928e-35
20,1.52667e-25,4.54989e-21,2.13553e-20,1.79295e-09,9.9633e-12,1.6604e-05,7.29078e-42,1.16735e-18,2.01997e-37,1.49217e-29,3.53242e-13,9.15276e-35
21,1.52643e-25,4.98764e-21,2.22128e-20,1.88258e-09,9.9633e-12,1.66039e-05,8.32733e-42,1.35087e-18,2.2055e-37,1.71717e-29,3.89445e-13,9.54335e-35
22,1.52618e-25,5.44256e-21,2.30531e-20,1.9722e-09,9.96329e-12,1.66038e-05,9.45765e-42,1.55269e-18,2.39868e-37,1.96366e-29,4.27415e-13,9.93105e-35
23,1.52594e-25,5.91427e-21,2.38766e-20,2.06182e-09,9.96328e-12,1.66037e-05,1.06858e-41,1.77366e-18,2.59942e-37,2.23264e-29,4.67149e-13,1.03159e-34
24,1.52569e-25,6.40236e-21,2.46837e-20,2.15143e-09,9.96327e-12,1.66036e-05,1.2016e-41,2.01466e-18,2.80767e-37,2.52512e-29,5.0865e-13,1.06979e-34
25,1.52545e-25,6.90643e-21,2.54749e-20,2.24105e-09,9.96326e-12,1.66035e-05,1.34522e-41,2.27657e-18,3.02336e-37,2.84209e-29,5.51915e-13,1.10771e-34
26,1.52521e-25,7.42609e-21,2.62505e-20,2.33066e-09,9.96326e-12,1.66034e-05,1.49985e-41,2.56024e-18,3.24642e-37,3.18456e-29,5.96946e-13,1.14535e-34
27,1.52496e-25,7.96095e-21,2.70108e-20,2.42027e-09,9.96325e-12,1.66033e-05,1.66592e-41,2.86656e-18,3.47679e-37,3.55353e-29,6.43743e-13,1.18272e-34
28,1.52472e-25,8.51059e-21,2.77564e-20,2.50987e-09,9.96324e-12,1.66033e-05,1.84381e-41,3.19638e-18,3.71438e-37,3.95e-29,6.92304e-13,1.21981e-34
29,1.52447e-25,9.07463e-21,2.84876e-20,2.59948e-09,9.96323e-12,1.66032e-05,2.03396e-41,3.55059e-18,3.95915e-37,4.37497e-29,7.42631e-13,1.25663e-34
30,1.52423e-25,9.65267e-21,2.92048e-20,2.68908e-09,9.96323e-12,1.66031e-05,2.23675e-41,3.93004e-18,4.21101e-37,4.82945e-29,7.94723e-13,1.29317e-34
31,1.52399e-25,1.02443e-20,2.99083e-20,2.77868e-09,9.96322e-12,1.6603e-05,2.45261e-41,4.33562e-18,4.46991e-37,5.31443e-29,8.4858e-13,1.32945e-34
32,1.52374e-25,1.08491e-20,3.05987e-20,2.86828e-09,9.96321e-12,1.66029e-05,2.68195e-41,4.76819e-18,4.73577e-37,5.83091e-29,9.04202e-13,1.36547e-34
