time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.24308e-30,2.38808e-29,1.20306e-22,8.95986e-09,9.9627e-24,1.65968e-05,1.59596e-46,1.47106e-20,9.67115e-40,5.94636e-35,8.82527e-17,9.87664e-32
2,3.14724e-30,4.77614e-29,1.20306e-22,1.79052e-08,9.96193e-24,1.65879e-05,1.19804e-45,1.1514e-19,3.74185e-39,2.36948e-34,3.5273e-16,1.9461e-31
3,3.05422e-30,7.1642e-29,1.20306e-22,2.68361e-08,9.96117e-24,1.65789e-05,4.04792e-45,3.92691e-19,8.11441e-39,5.3098e-34,7.92975e-16,2.87623e-31
4,2.96396e-30,9.55224e-29,1.20306e-22,3.57525e-08,9.9604e-24,1.657e-05,9.46289e-45,9.35673e-19,1.39082e-38,9.40157e-34,1.40855e-15,3.77887e-31
5,2.87636e-30,1.19403e-28,1.20306e-22,4.46545e-08,9.95964e-24,1.65611e-05,1.80891e-44,1.83014e-18,2.09669e-38,1.46312e-33,2.19902e-15,4.65484e-31
6,2.79135e-30,1.43283e-28,1.20306e-22,5.35421e-08,9.95887e-24,1.65522e-05,3.05594e-44,3.16353e-18,2.91359e-38,2.09851e-33,3.16395e-15,5.50492e-31
7,2.70886e-30,1.67163e-28,1.20306e-22,6.24153e-08,9.95811e-24,1.65434e-05,4.73417e-44,5.02281e-18,3.82902e-38,2.84499e-33,4.3029e-15,6.32987e-31
8,2.6288e-30,1.91043e-28,1.20306e-22,7.12741e-08,9.95734e-24,1.65345e-05,6.89285e-44,7.49498e-18,4.8301e-38,3.70121e-33,5.61544e-15,7.13045e-31
9,2.55111e-30,2.14923e-28,1.20306e-22,8.01186e-08,9.95658e-24,1.65257e-05,9.5724e-44,1.06667e-17,5.90554e-38,4.66587e-33,7.10114e-15,7.90736e-31
10,2.47571e-30,2.38802e-28,1.20306e-22,8.89488e-08,9.95581e-24,1.65168e-05,1.2809e-43,1.46244e-17,7.04488e-38,5.73767e-33,8.75956e-15,8.66132e-31
11,2.40254e-30,2.62682e-28,1.20306e-22,9.77646e-08,9.95505e-24,1.6508e-05,1.66596e-43,1.94533e-17,8.23448e-38,6.91536e-33,1.05903e-14,9.393e-31
12,2.33153e-30,2.86561e-28,1.20306e-22,1.06566e-07,9.95428e-24,1.64992e-05,2.11657e-43,2.52393e-17,9.46308e-38,8.19769e-33,1.25928e-14,1.01031e-30
13,2.26262e-30,3.1044e-28,1.20306e-22,1.15354e-07,9.95352e-24,1.64904e-05,2.63595e-43,3.20685e-17,1.07211e-37,9.58336e-33,1.47668e-14,1.07923e-30
14,2.19572e-30,3.3432e-28,1.20306e-22,1.24127e-07,9.95275e-24,1.64817e-05,3.22669e-43,4.00266e-17,1.19999e-37,1.10711e-32,1.71119e-14,1.14612e-30
15,2.1308e-30,3.58199e-28,1.20306e-22,1.32886e-07,9.95199e-24,1.64729e-05,3.89078e-43,4.91992e-17,1.32923e-37,1.26598e-32,1.96274e-14,1.21105e-30
16,2.06777e-30,3.82078e-28,1.20306e-22,1.4163e-07,9.95123e-24,1.64641e-05,4.62961e-43,5.96717e-17,1.4592e-37,1.4348e-32,2.23131e-14,1.27407e-30
17,2.00659e-30,4.05957e-28,1.20306e-22,1.50361e-07,9.95046e-24,1.64554e-05,5.44396e-43,7.15291e-17,1.58937e-37,1.61347e-32,2.51686e-14,1.33525e-30
18,1.9472e-30,4.29835e-28,1.20306e-22,1.59078e-07,9.9497e-24,1.64467e-05,6.33399e-43,8.48564e-17,1.71936e-37,1.80187e-32,2.81933e-14,1.39464e-30
19,1.88954e-30,4.53714e-28,1.20305e-22,1.6778e-07,9.94893e-24,1.6438e-05,7.29927e-43,9.97382e-17,1.84887e-37,1.99987e-32,3.13868e-14,1.4523e-30
20,1.83357e-30,4.77593e-28,1.20305e-22,1.76468e-07,9.94817e-24,1.64293e-05,8.33877e-43,1.16259e-16,1.97772e-37,2.20736e-32,3.47488e-14,1.50827e-30
21,1.77923e-30,5.01471e-28,1.20305e-22,1.85142e-07,9.9474e-24,1.64206e-05,9.45082e-43,1.34503e-16,2.10586e-37,2.42424e-32,3.82788e-14,1.56261e-30
22,1.72647e-30,5.25349e-28,1.20305e-22,1.93803e-07,9.94664e-24,1.6412e-05,1.06332e-42,1.54553e-16,2.23332e-37,2.65037e-32,4.19764e-14,1.61537e-30
23,1.67526e-30,5.49228e-28,1.20305e-22,2.02449e-07,9.94588e-24,1.64033e-05,1.1883e-42,1.76495e-16,2.36027e-37,2.88566e-32,4.58412e-14,1.66658e-30
24,1.62555e-30,5.73106e-28,1.20305e-22,2.11081e-07,9.94511e-24,1.63947e-05,1.31968e-42,2.00411e-16,2.48699e-37,3.13e-32,4.98727e-14,1.71629e-30
