time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.34184e-34,2.37778e-36,1.1927e-31,8.9647e-09,9.96347e-26,1.65968e-05,1.32204e-59,1.40122e-24,7.87498e-50,5.95067e-45,8.83101e-19,1.00246e-44
2,3.34184e-34,4.73508e-36,1.18243e-31,1.79246e-08,9.96347e-26,1.65879e-05,8.90194e-59,1.04904e-23,2.5578e-49,2.37283e-44,3.53179e-18,2.00473e-44
3,3.34183e-34,7.07207e-36,1.17224e-31,2.68796e-08,9.96347e-26,1.65789e-05,2.89505e-58,3.54209e-23,4.29455e-49,5.32119e-44,7.94507e-18,3.00683e-44
4,3.34183e-34,9.38893e-36,1.16214e-31,3.58298e-08,9.96347e-26,1.65699e-05,6.49291e-58,8.27314e-23,5.4214e-49,9.42859e-44,1.4122e-17,4.00877e-44
5,3.34182e-34,1.16858e-35,1.15213e-31,4.47751e-08,9.96347e-26,1.6561e-05,1.18684e-57,1.57992e-22,5.62062e-49,1.46838e-43,2.20616e-17,5.01053e-44
6,3.34182e-34,1.3963e-35,1.14221e-31,5.37157e-08,9.96347e-26,1.65521e-05,1.89975e-57,2.66678e-22,4.90712e-49,2.10755e-43,3.17629e-17,6.01213e-44
7,3.34181e-34,1.62205e-35,1.13237e-31,6.26514e-08,9.96347e-26,1.65431e-05,2.72674e-57,4.12829e-22,4.23592e-49,2.85926e-43,4.3225e-17,7.01356e-44
8,3.34181e-34,1.84585e-35,1.12262e-31,7.15822e-08,9.96347e-26,1.65342e-05,3.6208e-57,6.00741e-22,4.33463e-49,3.72238e-43,5.64469e-17,8.0148e-44
9,3.3418e-34,2.06773e-35,1.11295e-31,8.05083e-08,9.96347e-26,1.65253e-05,4.51278e-57,8.34021e-22,6.28434e-49,4.69582e-43,7.14276e-17,9.01585e-44
10,3.3418e-34,2.2877e-35,1.10336e-31,8.94295e-08,9.96347e-26,1.65163e-05,3.14545e-57,1.11583e-21,4.60855e-48,5.77849e-43,8.81663e-17,1.00163e-43
11,3.34179e-34,2.50577e-35,1.09386e-31,9.83459e-08,9.96347e-26,1.65074e-05,-2.34335e-56,1.44983e-21,4.90008e-47,6.96933e-43,1.06662e-16,1.10126e-43
12,3.34178e-34,2.72196e-35,1.08443e-31,1.07258e-07,9.96347e-26,1.64985e-05,-8.46396e-56,1.83922e-21,1.48829e-46,8.26728e-43,1.26914e-16,1.20032e-43
13,3.34178e-34,2.93629e-35,1.07509e-31,1.16164e-07,9.96347e-26,1.64896e-05,-1.84768e-55,2.28673e-21,3.10945e-46,9.67126e-43,1.4892e-16,1.29873e-43
14,3.34177e-34,3.14878e-35,1.06583e-31,1.25066e-07,9.96347e-26,1.64807e-05,-3.28301e-55,2.7946e-21,5.42502e-46,1.11802e-42,1.72681e-16,1.39644e-43
15,3.34177e-34,3.35943e-35,1.05665e-31,1.33964e-07,9.96347e-26,1.64718e-05,-5.19912e-55,3.36457e-21,8.50953e-46,1.27931e-42,1.98195e-16,1.49335e-43
16,3.34176e-34,3.56827e-35,1.04755e-31,1.42856e-07,9.96347e-26,1.64629e-05,-7.64461e-55,3.99792e-21,1.24406e-45,1.45088e-42,2.25461e-16,1.58941e-43
17,3.34176e-34,3.77531e-35,1.03853e-31,1.51743e-07,9.96347e-26,1.6454e-05,-1.067e-54,4.69541e-21,1.72986e-45,1.63264e-42,2.54479e-16,1.68452e-43
18,3.34175e-34,3.98057e-35,1.02959e-31,1.60626e-07,9.96347e-26,1.64452e-05,-1.43276e-54,5.45734e-21,2.31674e-45,1.82447e-42,2.85246e-16,1.7786e-43
19,3.34175e-34,4.18406e-35,1.02072e-31,1.69504e-07,9.96347e-26,1.64363e-05,-1.86718e-54,6.28353e-21,3.01333e-45,2.02629e-42,3.17764e-16,1.87156e-43
20,3.34174e-34,4.3858e-35,1.01193e-31,1.78377e-07,9.96347e-26,1.64274e-05,-2.37587e-54,7.17329e-21,3.82862e-45,2.23799e-42,3.52029e-16,1.96332e-43
21,3.34174e-34,4.5858e-35,1.00321e-31,1.87246e-07,9.96347e-26,1.64185e-05,-2.96463e-54,8.12546e-21,4.77185e-45,2.45947e-42,3.88042e-16,2.05378e-43
22,3.34173e-34,4.78408e-35,9.94572e-32,1.96109e-07,9.96347e-26,1.64097e-05,-3.63946e-54,9.13838e-21,5.85258e-45,2.69062e-42,4.25802e-16,2.14285e-43
23,3.34173e-34,4.98065e-35,9.86006e-32,2.04968e-07,9.96347e-26,1.64008e-05,-4.40654e-54,1.02099e-20,7.08069e-45,2.93137e-42,4.65307e-16,2.23043e-43
24,3.34172e-34,5.17553e-35,9.77515e-32,2.13822e-07,9.96347e-26,1.6392e-05,-5.27225e-54,1.13375e-20,8.46634e-45,3.1816e-42,5.06557e-16,2.31642e-43
25,3.34171e-34,5.36873e-35,9.69096e-32,2.22672e-07,9.96347e-26,1.63831e-05,-6.24313e-54,1.25179e-20,1.002e-44,3.44123e-42,5.4955e-16,2.40071e-43
26,3.34171e-34,5.56027e-35,9.60751e-32,2.31516e-07,9.96347e-26,1.63743e-05,-7.32594e-54,1.37477e-20,1.17524e-44,3.71015e-42,5.94287e-16,2.48319e-43
27,3.3417e-34,5.75016e-35,9.52477e-32,2.40356e-07,9.96347e-26,1.63654e-05,-8.52762e-54,1.50227e-20,1.36747e-44,3.98828e-42,6.40765e-16,2.56376e-43
28,3.3417e-34,5.93842e-35,9.44274e-32,2.49191e-07,9.96347e-26,1.63566e-05,-9.85529e-54,1.63383e-20,1.57982e-44,4.27553e-42,6.88984e-16,2.64229e-43
