time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.2888e-33,1.23204e-31,1.22701e-23,8.96228e-14,9.18565e-21,1.66058e-05,1.65176e-50,1.45122e-32,9.92225e-46,2.0404e-41,8.72088e-23,9.91093e-40
2,3.2366e-33,4.73673e-31,2.32432e-23,1.79149e-13,8.46916e-21,1.66058e-05,1.27856e-49,1.12018e-31,3.92996e-45,1.51772e-40,3.44677e-22,1.95953e-39
3,3.18523e-33,1.01984e-30,3.30397e-23,2.68578e-13,7.8088e-21,1.66058e-05,4.34874e-49,3.80744e-31,8.74977e-45,5.11073e-40,7.65606e-22,2.90573e-39
4,3.13467e-33,1.73609e-30,4.17587e-23,3.57911e-13,7.20024e-21,1.66058e-05,1.03e-48,9.00528e-31,1.53924e-44,1.18599e-39,1.34383e-21,3.83009e-39
5,3.08491e-33,2.60031e-30,4.9487e-23,4.47148e-13,6.63965e-21,1.66058e-05,2.00035e-48,1.74599e-30,2.38015e-44,2.24699e-39,2.07359e-21,4.73301e-39
6,3.03594e-33,3.58956e-30,5.63147e-23,5.36288e-13,6.12309e-21,1.66058e-05,3.43414e-48,2.99284e-30,3.39197e-44,3.76885e-39,2.94903e-21,5.61488e-39
7,2.98776e-33,4.68396e-30,6.23211e-23,6.25332e-13,5.64707e-21,1.66058e-05,5.41465e-48,4.71196e-30,4.5692e-44,5.81166e-39,3.96465e-21,6.47606e-39
8,2.94033e-33,5.86366e-30,6.75855e-23,7.14279e-13,5.20809e-21,1.66058e-05,8.0257e-48,6.9747e-30,5.90631e-44,8.43479e-39,5.11493e-21,7.31696e-39
9,2.89366e-33,7.11556e-30,7.21651e-23,8.03131e-13,4.80361e-21,1.66058e-05,1.13432e-47,9.84431e-30,7.39811e-44,1.16634e-38,6.39495e-21,8.13791e-39
10,2.84773e-33,8.42558e-30,7.61187e-23,8.91887e-13,4.43101e-21,1.66058e-05,1.5437e-47,1.33796e-29,9.0397e-44,1.55322e-38,7.80011e-21,8.93928e-39
11,2.80254e-33,9.78925e-30,7.94603e-23,9.80547e-13,4.08969e-21,1.66058e-05,2.02967e-47,1.75767e-29,1.08298e-43,2.00739e-38,9.33054e-21,9.72121e-39
12,2.75807e-33,1.1195e-29,8.22368e-23,1.06911e-12,3.77756e-21,1.66058e-05,2.59697e-47,2.24768e-29,1.27647e-43,2.5324e-38,1.0983e-20,1.0484e-38
13,2.71432e-33,1.26284e-29,8.45073e-23,1.15758e-12,3.492e-21,1.66058e-05,3.25244e-47,2.81379e-29,1.48394e-43,3.13196e-38,1.27528e-20,1.12279e-38
14,2.67127e-33,1.40755e-29,8.6331e-23,1.24595e-12,3.23038e-21,1.66058e-05,4.00292e-47,3.46181e-29,1.70491e-43,3.80973e-38,1.46357e-20,1.19534e-38
15,2.62891e-33,1.55217e-29,8.77673e-23,1.33423e-12,2.99009e-21,1.66058e-05,4.85528e-47,4.19754e-29,1.93889e-43,4.56941e-38,1.66269e-20,1.26608e-38
16,2.58724e-33,1.6953e-29,8.88752e-23,1.42241e-12,2.76849e-21,1.66058e-05,5.81636e-47,5.02679e-29,2.18541e-43,5.41468e-38,1.8722e-20,1.33504e-38
17,2.54623e-33,1.83551e-29,8.9714e-23,1.5105e-12,2.56296e-21,1.66058e-05,6.89301e-47,5.95536e-29,2.44398e-43,6.34921e-38,2.09164e-20,1.40226e-38
18,2.50589e-33,1.97136e-29,9.03428e-23,1.59849e-12,2.37087e-21,1.66058e-05,8.09208e-47,6.98906e-29,2.71411e-43,7.3767e-38,2.32057e-20,1.46776e-38
19,2.46619e-33,2.10144e-29,9.08209e-23,1.68639e-12,2.18961e-21,1.66058e-05,9.42042e-47,8.13368e-29,2.99533e-43,8.50083e-38,2.55852e-20,1.5316e-38
20,2.42712e-33,2.22432e-29,9.12075e-23,1.77419e-12,2.01654e-21,1.66058e-05,1.08849e-46,9.39505e-29,3.28713e-43,9.72528e-38,2.80505e-20,1.59379e-38
21,2.38868e-33,2.33857e-29,9.15617e-23,1.8619e-12,1.84904e-21,1.66058e-05,1.24923e-46,1.0779e-28,3.58906e-43,1.10537e-37,3.0597e-20,1.65437e-38
22,2.35086e-33,2.44277e-29,9.19428e-23,1.94951e-12,1.68448e-21,1.66058e-05,1.42496e-46,1.22912e-28,3.90061e-43,1.24899e-37,3.32202e-20,1.71338e-38
23,2.31363e-33,2.53549e-29,9.241e-23,2.03703e-12,1.52024e-21,1.66058e-05,1.61635e-46,1.39376e-28,4.2213e-43,1.40374e-37,3.59155e-20,1.77086e-38
24,2.277e-33,2.6153e-29,9.30224e-23,2.12446e-12,1.3537e-21,1.66058e-05,1.82409e-46,1.5724e-28,4.55066e-43,1.57e-37,3.86785e-20,1.82683e-38
25,2.24095e-33,2.68079e-29,9.38392e-23,2.21179e-12,1.18222e-21,1.66058e-05,2.04888e-46,1.76561e-28,4.88819e-43,1.74813e-37,4.15046e-20,1.88133e-38
26,2.20546e-33,2.73052e-29,9.49197e-23,2.29902e-12,1.00319e-21,1.66058e-05,2.29138e-46,1.97398e-28,5.23341e-43,1.9385e-37,4.43892e-20,1.9344e-38
27,2.17053e-33,2.76307e-29,9.63231e-23,2.38616e-12,8.13978e-22,1.66058e-05,2.55229e-46,2.19808e-28,5.58584e-43,2.14149e-37,4.73279e-20,1.98607e-38
28,2.13614e-33,2.77701e-29,9.81085e-23,2.47321e-12,6.11959e-22,1.66058e-05,2.83229e-46,2.43851e-28,5.945e-43,2.35745e-37,5.03161e-20,2.03637e-38
29,2.10229e-33,2.77093e-29,1.00335e-22,2.56016e-12,3.94508e-22,1.66058e-05,3.13207e-46,2.69583e-28,6.31039e-43,2.58676e-37,5.33493e-20,2.08533e-38
