time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.33641e-32,2.38229e-30,1.20301e-25,8.96469e-09,9.96379e-26,1.65968e-05,1.66675e-50,1.47155e-22,1.00034e-47,5.73375e-33,8.83102e-16,1.00174e-36
2,3.33097e-32,4.75383e-30,1.20295e-25,1.79245e-08,9.96412e-26,1.65879e-05,1.30242e-49,1.15214e-21,3.99293e-47,2.21132e-32,3.5318e-15,2.00184e-36
3,3.32555e-32,7.11597e-30,1.20289e-25,2.68795e-08,9.96445e-26,1.65789e-05,4.44039e-49,3.92968e-21,8.96404e-47,4.77657e-32,7.94509e-15,3.00032e-36
4,3.32013e-32,9.46982e-30,1.20283e-25,3.58297e-08,9.96478e-26,1.65699e-05,1.05721e-48,9.36466e-21,1.59005e-46,8.15973e-32,1.4122e-14,3.99717e-36
5,3.31472e-32,1.18163e-29,1.20278e-25,4.4775e-08,9.96511e-26,1.6561e-05,2.06597e-48,1.832e-20,2.47894e-46,1.22682e-31,2.20617e-14,4.9924e-36
6,3.30932e-32,1.41563e-29,1.20272e-25,5.37155e-08,9.96544e-26,1.65521e-05,3.5679e-48,3.16729e-20,3.56179e-46,1.70108e-31,3.1763e-14,5.98601e-36
7,3.30393e-32,1.64906e-29,1.20266e-25,6.26511e-08,9.96576e-26,1.65431e-05,5.65925e-48,5.0297e-20,4.8373e-46,2.23215e-31,4.32252e-14,6.978e-36
8,3.29855e-32,1.88197e-29,1.2026e-25,7.15819e-08,9.96609e-26,1.65342e-05,8.43633e-48,7.50664e-20,6.30419e-46,2.81294e-31,5.64472e-14,7.96837e-36
9,3.29318e-32,2.11443e-29,1.20254e-25,8.05078e-08,9.96642e-26,1.65253e-05,1.19945e-47,1.06853e-19,7.96118e-46,3.43752e-31,7.14281e-14,8.95713e-36
10,3.28782e-32,2.3465e-29,1.20249e-25,8.9429e-08,9.96675e-26,1.65163e-05,1.64283e-47,1.46526e-19,9.807e-46,4.10078e-31,8.81669e-14,9.94428e-36
11,3.28246e-32,2.57823e-29,1.20243e-25,9.83453e-08,9.96708e-26,1.65074e-05,2.18294e-47,1.94948e-19,1.18404e-45,4.7971e-31,1.06663e-13,1.09298e-35
12,3.27712e-32,2.80966e-29,1.20237e-25,1.07257e-07,9.96741e-26,1.64985e-05,2.82911e-47,2.52984e-19,1.40602e-45,5.52139e-31,1.26915e-13,1.19138e-35
13,3.27178e-32,3.04084e-29,1.20231e-25,1.16163e-07,9.96774e-26,1.64896e-05,3.59069e-47,3.21503e-19,1.6465e-45,6.26932e-31,1.48921e-13,1.28961e-35
14,3.26645e-32,3.27182e-29,1.20226e-25,1.25065e-07,9.96806e-26,1.64807e-05,4.47698e-47,4.01369e-19,1.90537e-45,7.03736e-31,1.72682e-13,1.38768e-35
15,3.26113e-32,3.5026e-29,1.2022e-25,1.33962e-07,9.96839e-26,1.64718e-05,5.49719e-47,4.93447e-19,2.1825e-45,7.82281e-31,1.98197e-13,1.4856e-35
16,3.25582e-32,3.73322e-29,1.20214e-25,1.42854e-07,9.96872e-26,1.64629e-05,6.66047e-47,5.98599e-19,2.47776e-45,8.62379e-31,2.25463e-13,1.58335e-35
17,3.25052e-32,3.96369e-29,1.20208e-25,1.51742e-07,9.96905e-26,1.6454e-05,7.97591e-47,7.17686e-19,2.79104e-45,9.43928e-31,2.54481e-13,1.68095e-35
18,3.24522e-32,4.194e-29,1.20202e-25,1.60624e-07,9.96938e-26,1.64452e-05,9.45253e-47,8.51567e-19,3.12221e-45,1.0269e-30,2.85249e-13,1.77838e-35
19,3.23994e-32,4.42414e-29,1.20197e-25,1.69502e-07,9.96971e-26,1.64363e-05,1.10993e-46,1.0011e-18,3.47115e-45,1.11137e-30,3.17766e-13,1.87566e-35
20,3.23466e-32,4.65412e-29,1.20191e-25,1.78375e-07,9.97004e-26,1.64274e-05,1.2925e-46,1.16714e-18,3.83773e-45,1.19746e-30,3.52032e-13,1.97278e-35
21,3.22939e-32,4.8839e-29,1.20185e-25,1.87243e-07,9.97036e-26,1.64185e-05,1.49386e-46,1.35054e-18,4.22185e-45,1.28541e-30,3.88045e-13,2.06974e-35
22,3.22413e-32,5.11345e-29,1.20179e-25,1.96107e-07,9.97069e-26,1.64097e-05,1.71488e-46,1.55216e-18,4.62338e-45,1.37553e-30,4.25805e-13,2.16654e-35
23,3.21888e-32,5.34273e-29,1.20174e-25,2.04965e-07,9.97102e-26,1.64008e-05,1.95642e-46,1.77284e-18,5.04219e-45,1.4682e-30,4.65311e-13,2.26319e-35
24,3.21364e-32,5.5717e-29,1.20168e-25,2.13819e-07,9.97135e-26,1.6392e-05,2.21936e-46,2.01344e-18,5.47819e-45,1.56389e-30,5.06561e-13,2.35967e-35
25,3.20841e-32,5.80029e-29,1.20162e-25,2.22668e-07,9.97168e-26,1.63831e-05,2.50453e-46,2.2748e-18,5.93124e-45,1.66317e-30,5.49555e-13,2.456e-35
26,3.20318e-32,6.02846e-29,1.20156e-25,2.31512e-07,9.97201e-26,1.63743e-05,2.81279e-46,2.55777e-18,6.40123e-45,1.76667e-30,5.94291e-13,2.55218e-35
27,3.19796e-32,6.25612e-29,1.2015e-25,2.40352e-07,9.97233e-26,1.63654e-05,3.14499e-46,2.8632e-18,6.88804e-45,1.87512e-30,6.4077e-13,2.6482e-35
28,3.19275e-32,6.48319e-29,1.20145e-25,2.49186e-07,9.97266e-26,1.63566e-05,3.50195e-46,3.19192e-18,7.39157e-45,1.98931e-30,6.88989e-13,2.74406e-35
29,3.18755e-32,6.70959e-29,1.20139e-25,2.58016e-07,9.97299e-26,1.63478e-05,3.88451e-46,3.54479e-18,7.91169e-45,2.11013e-30,7.38948e-13,2.83976e-35
30,3.18236e-32,6.93521e-29,1.20133e-25,2.66841e-07,9.97332e-26,1.63389e-05,4.29349e-46,3.92263e-18,8.4483e-45,2.23855e-30,7.90646e-13,2.93531e-35
31,3.17718e-32,7.15996e-29,1.20127e-25,2.75662e-07,9.97365e-26,1.63301e-05,4.72969e-46,4.32629e-18,9.00127e-45,2.37562e-30,8.44082e-13,3.0307e-35
32,3.17201e-32,7.38372e-29,1.20122e-25,2.84477e-07,9.97397e-26,1.63213e-05,5.19394e-46,4.7566e-18,9.57051e-45,2.52247e-30,8.99256e-13,3.12594e-35
33,3.16684e-32,7.60631e-29,1.20116e-25,2.93288e-07,9.9743e-26,1.63125e-05,5.68706e-46,5.21441e-18,1.01559e-44,2.68099e-30,9.56165e-13,3.22102e-35
34,3.16168e-32,7.82751e-29,1.2011e-25,3.02094e-07,9.97463e-26,1.63037e-05,6.20991e-46,5.70055e-18,1.07573e-44,2.8532e-30,1.01481e-12,3.31595e-35
35,3.15653e-32,8.04717e-29,1.20104e-25,3.10895e-07,9.97496e-26,1.62949e-05,6.76329e-46,6.21585e-18,1.13746e-44,3.04066e-30,1.07519e-12,3.41072e-35
36,3.15139e-32,8.26514e-29,1.20098e-25,3.19691e-07,9.97529e-26,1.62861e-05,7.34798e-46,6.76114e-18,1.20077e-44,3.245e-30,1.1373e-12,3.50534e-35
37,3.14626e-32,8.48123e-29,1.20093e-25,3.28483e-07,9.97562e-26,1.62773e-05,7.96477e-46,7.33726e-18,1.26566e-44,3.46797e-30,1.20115e-12,3.59981e-35
38,3.14113e-32,8.69526e-29,1.20087e-25,3.3727e-07,9.97594e-26,1.62685e-05,8.61444e-46,7.94503e-18,1.3321e-44,3.71139e-30,1.26672e-12,3.69412e-35
39,3.13602e-32,8.90705e-29,1.20081e-25,3.46052e-07,9.97627e-26,1.62597e-05,9.29777e-46,8.58528e-18,1.40009e-44,3.97718e-30,1.33403e-12,3.78828e-35
40,3.13091e-32,9.11639e-29,1.20075e-25,3.5483e-07,9.9766e-26,1.62509e-05,1.00155e-45,9.25883e-18,1.46962e-44,4.26733e-30,1.40306e-12,3.88228e-35
41,3.12581e-32,9.32307e-29,1.2007e-25,3.63602e-07,9.97693e-26,1.62422e-05,1.07685e-45,9.96651e-18,1.54067e-44,4.58396e-30,1.47383e-12,3.97613e-35
42,3.12072e-32,9.52687e-29,1.20064e-25,3.7237e-07,9.97726e-26,1.62334e-05,1.15574e-45,1.07091e-17,1.61324e-44,4.92923e-30,1.54632e-12,4.06983e-35
43,3.11564e-32,9.72757e-29,1.20058e-25,3.81134e-07,9.97758e-26,1.62246e-05,1.23829e-45,1.14875e-17,1.68731e-44,5.30542e-30,1.62054e-12,4.16337e-35
44,3.11056e-32,9.92493e-29,1.20052e-25,3.89892e-07,9.97791e-26,1.62159e-05,1.32459e-45,1.23025e-17,1.76288e-44,5.7149e-30,1.69649e-12,4.25677e-35
45,3.1055e-32,1.01187e-28,1.20046e-25,3.98646e-07,9.97824e-26,1.62071e-05,1.41471e-45,1.31549e-17,1.83994e-44,6.16013e-30,1.77416e-12,4.35001e-35
46,3.10044e-32,1.03086e-28,1.20041e-25,4.07395e-07,9.97857e-26,1.61984e-05,1.50872e-45,1.40455e-17,1.91847e-44,6.64364e-30,1.85355e-12,4.4431e-35
47,3.09539e-32,1.04945e-28,1.20035e-25,4.16139e-07,9.9789e-26,1.61896e-05,1.60669e-45,1.49752e-17,1.99846e-44,7.16807e-30,1.93467e-12,4.53603e-35
48,3.09035e-32,1.06759e-28,1.20029e-25,4.24878e-07,9.97922e-26,1.61809e-05,1.70869e-45,1.59447e-17,2.07991e-44,7.73614e-30,2.01751e-12,4.62882e-35
49,3.08532e-32,1.08527e-28,1.20023e-25,4.33613e-07,9.97955e-26,1.61722e-05,1.8148e-45,1.69548e-17,2.1628e-44,8.35067e-30,2.10207e-12,4.72145e-35
50,3.08029e-32,1.10246e-28,1.20018e-25,4.42343e-07,9.97988e-26,1.61634e-05,1.92509e-45,1.80064e-17,2.24712e-44,9.01457e-30,2.18835e-12,4.81394e-35
51,3.07527e-32,1.11912e-28,1.20012e-25,4.51069e-07,9.98021e-26,1.61547e-05,2.03962e-45,1.91003e-17,2.33287e-44,9.73081e-30,2.27635e-12,4.90627e-35
52,3.07027e-32,1.13522e-28,1.20006e-25,4.59789e-07,9.98054e-26,1.6146e-05,2.15847e-45,2.02373e-17,2.42003e-44,1.05025e-29,2.36607e-12,4.99845e-35
53,3.06527e-32,1.15074e-28,1.2e-25,4.68505e-07,9.98086e-26,1.61373e-05,2.2817e-45,2.14182e-17,2.50859e-44,1.13328e-29,2.4575e-12,5.09049e-35
54,3.06027e-32,1.16564e-28,1.19994e-25,4.77216e-07,9.98119e-26,1.61286e-05,2.40938e-45,2.26437e-17,2.59855e-44,1.22249e-29,2.55066e-12,5.18237e-35
55,3.05529e-32,1.17987e-28,1.19989e-25,4.85923e-07,9.98152e-26,1.61199e-05,2.54158e-45,2.39148e-17,2.68989e-44,1.31839e-29,2.64552e-12,5.2741e-35
56,3.05031e-32,1.19333e-28,1.19983e-25,4.94624e-07,9.98185e-26,1.61112e-05,2.67839e-45,2.52321e-17,2.78261e-44,1.42188e-29,2.74211e-12,5.36569e-35
57,3.04534e-32,1.20599e-28,1.19977e-25,5.03321e-07,9.98217e-26,1.61025e-05,2.81987e-45,2.65966e-17,2.87669e-44,1.53345e-29,2.8404e-12,5.45712e-35
58,3.04038e-32,1.2178e-28,1.19971e-25,5.12014e-07,9.9825e-26,1.60938e-05,2.96609e-45,2.8009e-17,2.97212e-44,1.65357e-29,2.94041e-12,5.54841e-35
59,3.03543e-32,1.22869e-28,1.19966e-25,5.20701e-07,9.98283e-26,1.60851e-05,3.11712e-45,2.947e-17,3.06889e-44,1.78271e-29,3.04213e-12,5.63955e-35
60,3.03049e-32,1.23864e-28,1.1996e-25,5.29384e-07,9.98316e-26,1.60764e-05,3.27303e-45,3.09806e-17,3.167e-44,1.92136e-29,3.14556e-12,5.73053e-35
61,3.02555e-32,1.24758e-28,1.19954e-25,5.38063e-07,9.98349e-26,1.60677e-05,3.43387e-45,3.25415e-17,3.26643e-44,2.07004e-29,3.25071e-12,5.82137e-35
