time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
32,3.33693e-32,2.3141e-22,3.30561e-21,2.86948e-11,6.54935e-21,1.66058e-05,-1.26291e-39,3.70494e-18,2.34284e-37,-1.22799e-22,2.56836e-18,2.47346e-35
33,3.33678e-32,1.92913e-22,3.38493e-21,2.95915e-11,6.46359e-21,1.66057e-05,-6.48503e-40,3.95317e-18,1.24788e-37,-7.79073e-23,2.70857e-18,2.54188e-35
34,3.33663e-32,1.32885e-22,3.46312e-21,3.04882e-11,6.37884e-21,1.66057e-05,2.42138e-40,4.19864e-18,-3.41453e-38,-1.13659e-23,2.87127e-18,2.61398e-35
35,3.33647e-32,5.13285e-23,3.54018e-21,3.13849e-11,6.29508e-21,1.66057e-05,1.40901e-39,4.44134e-18,-2.42515e-37,7.68248e-23,3.05647e-18,2.68977e-35
36,3.33632e-32,-5.17582e-23,3.6161e-21,3.22816e-11,6.21231e-21,1.66057e-05,2.85213e-39,4.68128e-18,-5.00321e-37,1.86665e-22,3.26417e-18,2.76923e-35
37,3.33617e-32,-1.76375e-22,3.69089e-21,3.31783e-11,6.13055e-21,1.66057e-05,4.57147e-39,4.91846e-18,-8.07564e-37,3.18154e-22,3.49437e-18,2.85237e-35
38,3.33601e-32,-3.22521e-22,3.76454e-21,3.4075e-11,6.04978e-21,1.66057e-05,6.56706e-39,5.15287e-18,-1.16424e-36,4.71293e-22,3.74706e-18,2.9392e-35
39,3.33586e-32,-4.90197e-22,3.83706e-21,3.49717e-11,5.97001e-21,1.66057e-05,8.83888e-39,5.38452e-18,-1.57036e-36,6.46081e-22,4.02226e-18,3.02971e-35
40,3.33571e-32,-6.79403e-22,3.90844e-21,3.58684e-11,5.89123e-21,1.66057e-05,1.13869e-38,5.6134e-18,-2.02591e-36,8.42519e-22,4.31995e-18,3.12389e-35
41,3.33555e-32,-8.90138e-22,3.97869e-21,3.67651e-11,5.81346e-21,1.66057e-05,1.42112e-38,5.83951e-18,-2.5309e-36,1.06061e-21,4.64014e-18,3.22176e-35
42,3.3354e-32,-1.1224e-21,4.04781e-21,3.76619e-11,5.73668e-21,1.66057e-05,1.73117e-38,6.06286e-18,-3.08533e-36,1.30034e-21,4.98283e-18,3.32331e-35
43,3.33525e-32,-1.3762e-21,4.11579e-21,3.85586e-11,5.6609e-21,1.66057e-05,2.06885e-38,6.28345e-18,-3.68919e-36,1.56173e-21,5.34802e-18,3.42854e-35
44,3.33509e-32,-1.65152e-21,4.18264e-21,3.94553e-11,5.58611e-21,1.66057e-05,2.43415e-38,6.50127e-18,-4.34249e-36,1.84476e-21,5.7357e-18,3.53745e-35
45,3.33494e-32,-1.94838e-21,4.24836e-21,4.0352e-11,5.51232e-21,1.66057e-05,2.82707e-38,6.71633e-18,-5.04523e-36,2.14945e-21,6.14588e-18,3.65004e-35
46,3.33479e-32,-2.26676e-21,4.31294e-21,4.12487e-11,5.43953e-21,1.66057e-05,3.24762e-38,6.92862e-18,-5.7974e-36,2.47578e-21,6.57857e-18,3.76631e-35
47,3.33463e-32,-2.60668e-21,4.37638e-21,4.21454e-11,5.36774e-21,1.66057e-05,3.69579e-38,7.13814e-18,-6.59901e-36,2.82376e-21,7.03375e-18,3.88626e-35
48,3.33448e-32,-2.96812e-21,4.43869e-21,4.30421e-11,5.29694e-21,1.66057e-05,4.17159e-38,7.34491e-18,-7.45005e-36,3.19339e-21,7.51142e-18,4.0099e-35
49,3.33433e-32,-3.35109e-21,4.49987e-21,4.39388e-11,5.22715e-21,1.66057e-05,4.675e-38,7.5489e-18,-8.35054e-36,3.58468e-21,8.0116e-18,4.13721e-35
50,3.33417e-32,-3.7556e-21,4.55991e-21,4.48355e-11,5.15835e-21,1.66057e-05,5.20604e-38,7.75014e-18,-9.30046e-36,3.99761e-21,8.53427e-18,4.2682e-35
51,3.33402e-32,-4.18163e-21,4.61882e-21,4.57322e-11,5.09054e-21,1.66057e-05,5.76471e-38,7.9486e-18,-1.02998e-35,4.43219e-21,9.07944e-18,4.40288e-35
52,3.33387e-32,-4.62919e-21,4.6766e-21,4.66289e-11,5.02373e-21,1.66057e-05,6.351e-38,8.14431e-18,-1.13486e-35,4.88842e-21,9.64711e-18,4.54123e-35
