time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.34175e-26,2.35657e-32,1.19273e-24,8.87698e-09,9.96346e-20,1.65968e-05,1.66587e-50,1.45207e-17,9.99938e-41,5.91776e-36,8.77242e-11,9.99037e-31
2,3.34165e-26,4.65096e-32,1.18248e-24,1.75759e-08,9.96346e-20,1.65879e-05,1.3011e-49,1.123e-16,3.9898e-40,2.34734e-35,3.48626e-10,1.99108e-30
3,3.34155e-26,6.88449e-32,1.17232e-24,2.61006e-08,9.96346e-20,1.65789e-05,4.43543e-49,3.82008e-16,8.95338e-40,5.23447e-35,7.79003e-10,2.97616e-30
4,3.34145e-26,9.05843e-32,1.16225e-24,3.44544e-08,9.96346e-20,1.65699e-05,1.05579e-48,9.05173e-16,1.58752e-39,9.22291e-35,1.37538e-09,3.95435e-30
5,3.34135e-26,1.1174e-31,1.15226e-24,4.26407e-08,9.96346e-20,1.6561e-05,2.06265e-48,1.75877e-15,2.47401e-39,1.42838e-34,2.13442e-09,4.92569e-30
6,3.34126e-26,1.32324e-31,1.14236e-24,5.06629e-08,9.96346e-20,1.65521e-05,3.56122e-48,3.02004e-15,3.55329e-39,2.03879e-34,3.05278e-09,5.89022e-30
7,3.34116e-26,1.52348e-31,1.13255e-24,5.85241e-08,9.96346e-20,1.65431e-05,5.64704e-48,4.76082e-15,4.82385e-39,2.75073e-34,4.12724e-09,6.848e-30
8,3.34106e-26,1.71823e-31,1.12282e-24,6.62276e-08,9.96346e-20,1.65342e-05,8.41571e-48,7.05336e-15,6.28419e-39,3.56141e-34,5.35456e-09,7.79906e-30
9,3.34097e-26,1.90762e-31,1.11317e-24,7.37766e-08,9.96346e-20,1.65253e-05,1.19618e-47,9.9664e-15,7.93281e-39,4.46811e-34,6.73162e-09,8.74346e-30
10,3.34088e-26,2.09175e-31,1.10361e-24,8.11741e-08,9.96346e-20,1.65163e-05,1.63787e-47,1.35659e-14,9.76824e-39,5.46819e-34,8.25536e-09,9.68125e-30
