time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.34185e-30,2.39875e-34,1.21591e-27,8.95985e-09,9.96339e-19,1.65968e-05,1.65122e-53,1.44519e-17,9.97143e-45,5.90938e-40,8.70529e-15,1.00245e-40
2,3.34185e-30,4.81879e-34,1.22876e-27,1.79052e-08,9.96331e-19,1.65879e-05,1.2792e-52,1.11286e-16,3.96809e-44,2.34116e-39,3.43494e-14,2.00471e-40
3,3.34185e-30,7.26009e-34,1.24161e-27,2.6836e-08,9.96323e-19,1.65789e-05,4.35306e-52,3.78195e-16,8.87949e-44,5.21365e-39,7.61589e-14,3.00677e-40
4,3.34185e-30,9.72261e-34,1.25445e-27,3.57524e-08,9.96315e-19,1.657e-05,1.03227e-51,8.94404e-16,1.56998e-43,9.17472e-39,1.33433e-13,4.00863e-40
5,3.34185e-30,1.22063e-33,1.26729e-27,4.46543e-08,9.96307e-19,1.65611e-05,2.00761e-51,1.73383e-15,2.43988e-43,1.41928e-38,2.05518e-13,5.0103e-40
6,3.34185e-30,1.47111e-33,1.28013e-27,5.35418e-08,9.96299e-19,1.65522e-05,3.45059e-51,2.97041e-15,3.49458e-43,2.02362e-38,2.91757e-13,6.01178e-40
7,3.34185e-30,1.72371e-33,1.29297e-27,6.24149e-08,9.96291e-19,1.65434e-05,5.44505e-51,4.67124e-15,4.73112e-43,2.72758e-38,3.91554e-13,7.01306e-40
8,3.34185e-30,1.97841e-33,1.30581e-27,7.12736e-08,9.96283e-19,1.65345e-05,8.07525e-51,6.90407e-15,6.14654e-43,3.52825e-38,5.04305e-13,8.01416e-40
9,3.34185e-30,2.23521e-33,1.31865e-27,8.0118e-08,9.96275e-19,1.65257e-05,1.14219e-50,9.73242e-15,7.73795e-43,4.42284e-38,6.29444e-13,9.01506e-40
10,3.34185e-30,2.49411e-33,1.33149e-27,8.8948e-08,9.96267e-19,1.65168e-05,1.55628e-50,1.3217e-14,9.50251e-43,5.4087e-38,7.66427e-13,1.00158e-39
11,3.34185e-30,2.7551e-33,1.34432e-27,9.77637e-08,9.96259e-19,1.6508e-05,2.05717e-50,1.74208e-14,1.14375e-42,6.48312e-38,9.14692e-13,1.10163e-39
12,3.34185e-30,3.01818e-33,1.35716e-27,1.06565e-07,9.96251e-19,1.64992e-05,2.65244e-50,2.24046e-14,1.35401e-42,7.64345e-38,1.0737e-12,1.20167e-39
13,3.34185e-30,3.28335e-33,1.36999e-27,1.15352e-07,9.96243e-19,1.64904e-05,3.34957e-50,2.82262e-14,1.58076e-42,8.88713e-38,1.24292e-12,1.30168e-39
14,3.34185e-30,3.55061e-33,1.38282e-27,1.24125e-07,9.96235e-19,1.64817e-05,4.15581e-50,3.49407e-14,1.82373e-42,1.02117e-37,1.42187e-12,1.40168e-39
15,3.34185e-30,3.81994e-33,1.39565e-27,1.32884e-07,9.96227e-19,1.64729e-05,5.07812e-50,4.26e-14,2.08264e-42,1.16149e-37,1.61008e-12,1.50166e-39
16,3.34185e-30,4.09135e-33,1.40848e-27,1.41629e-07,9.96219e-19,1.64641e-05,6.12326e-50,5.12533e-14,2.35724e-42,1.30945e-37,1.8071e-12,1.60163e-39
17,3.34185e-30,4.36483e-33,1.42131e-27,1.50359e-07,9.96211e-19,1.64554e-05,7.29768e-50,6.09465e-14,2.64726e-42,1.46484e-37,2.01251e-12,1.70157e-39
18,3.34185e-30,4.64037e-33,1.43414e-27,1.59075e-07,9.96203e-19,1.64467e-05,8.60761e-50,7.17228e-14,2.95246e-42,1.62747e-37,2.22592e-12,1.8015e-39
19,3.34185e-30,4.91798e-33,1.44696e-27,1.67777e-07,9.96195e-19,1.6438e-05,1.0059e-49,8.36223e-14,3.27258e-42,1.79713e-37,2.44697e-12,1.90141e-39
20,3.34185e-30,5.19765e-33,1.45979e-27,1.76465e-07,9.96187e-19,1.64293e-05,1.16576e-49,9.6682e-14,3.60738e-42,1.97367e-37,2.6753e-12,2.0013e-39
21,3.34185e-30,5.47937e-33,1.47261e-27,1.85139e-07,9.96179e-19,1.64206e-05,1.34089e-49,1.10936e-13,3.95663e-42,2.15692e-37,2.91061e-12,2.10118e-39
22,3.34185e-30,5.76315e-33,1.48543e-27,1.93799e-07,9.96171e-19,1.6412e-05,1.53181e-49,1.26416e-13,4.32008e-42,2.34672e-37,3.1526e-12,2.20104e-39
23,3.34185e-30,6.04897e-33,1.49826e-27,2.02445e-07,9.96163e-19,1.64033e-05,1.73901e-49,1.4315e-13,4.69752e-42,2.54293e-37,3.401e-12,2.30088e-39
