time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,1.44897e-28,2.19104e-21,1.71126e-18,8.68276e-07,9.83075e-17,1.57375e-05,2.50173e-33,1.44833e-19,5.10533e-28,4.53618e-23,8.64234e-16,1.79848e-29
2,1.40628e-28,6.45317e-21,2.78162e-18,1.68207e-06,9.70378e-17,1.49237e-05,5.05439e-33,1.14e-18,5.10531e-28,2.53009e-22,3.38324e-15,2.19084e-29
3,1.36488e-28,1.24658e-20,3.74576e-18,2.44481e-06,9.57845e-17,1.4161e-05,7.60704e-33,3.78628e-18,5.10528e-28,7.17467e-22,7.45171e-15,2.56372e-29
4,1.32474e-28,1.99443e-20,4.61285e-18,3.15968e-06,9.45473e-17,1.34461e-05,1.01597e-32,8.83347e-18,5.10525e-28,1.51781e-21,1.29709e-14,2.91783e-29
5,1.2858e-28,2.86353e-20,5.39132e-18,3.8297e-06,9.33261e-17,1.27761e-05,1.27123e-32,1.69835e-17,5.10523e-28,2.71941e-21,1.98483e-14,3.25387e-29
6,1.24803e-28,3.83139e-20,6.08886e-18,4.45769e-06,9.21208e-17,1.21481e-05,1.52649e-32,2.88937e-17,5.1052e-28,4.37543e-21,2.79973e-14,3.57253e-29
7,1.2114e-28,4.87806e-20,6.71251e-18,5.04626e-06,9.09309e-17,1.15595e-05,1.78175e-32,4.51792e-17,5.10518e-28,6.52826e-21,3.73365e-14,3.87444e-29
8,1.17588e-28,5.98592e-20,7.26872e-18,5.59791e-06,8.97565e-17,1.10079e-05,2.03701e-32,6.64159e-17,5.10515e-28,9.21075e-21,4.77897e-14,4.16026e-29
9,1.14142e-28,7.13941e-20,7.76338e-18,6.11495e-06,8.85972e-17,1.04908e-05,2.29226e-32,9.31427e-17,5.10512e-28,1.24474e-20,5.92857e-14,4.43058e-29
10,1.108e-28,8.32487e-20,8.20188e-18,6.59954e-06,8.74529e-17,1.00062e-05,2.54752e-32,1.25864e-16,5.1051e-28,1.62551e-20,7.17574e-14,4.68599e-29
11,1.07559e-28,9.5303e-20,8.58917e-18,7.05373e-06,8.63233e-17,9.55205e-06,2.80277e-32,1.65052e-16,5.10507e-28,2.06447e-20,8.51422e-14,4.92706e-29
12,1.04415e-28,1.07452e-19,8.92975e-18,7.47942e-06,8.52084e-17,9.12636e-06,3.05802e-32,2.11149e-16,5.10505e-28,2.56211e-20,9.93813e-14,5.15435e-29
13,1.01365e-28,1.19606e-19,9.22776e-18,7.87839e-06,8.41078e-17,8.72738e-06,3.31328e-32,2.64567e-16,5.10502e-28,3.11843e-20,1.1442e-13,5.36838e-29
14,9.84069e-29,1.31685e-19,9.48698e-18,8.25234e-06,8.30215e-17,8.35344e-06,3.56853e-32,3.25693e-16,5.10499e-28,3.73302e-20,1.30205e-13,5.56967e-29
15,9.55377e-29,1.43621e-19,9.71087e-18,8.60282e-06,8.19492e-17,8.00296e-06,3.82377e-32,3.94889e-16,5.10497e-28,4.40509e-20,1.46691e-13,5.75871e-29
16,9.27544e-29,1.55356e-19,9.90258e-18,8.93131e-06,8.08908e-17,7.67447e-06,4.07902e-32,4.72493e-16,5.10494e-28,5.13357e-20,1.6383e-13,5.93598e-29
17,9.00546e-29,1.66841e-19,1.0065e-17,9.23919e-06,7.9846e-17,7.36659e-06,4.33427e-32,5.58821e-16,5.10492e-28,5.91709e-20,1.8158e-13,6.10194e-29
18,8.74357e-29,1.78035e-19,1.02008e-17,9.52776e-06,7.88147e-17,7.07802e-06,4.58951e-32,6.54169e-16,5.10489e-28,6.75409e-20,1.99902e-13,6.25703e-29
19,8.48953e-29,1.88904e-19,1.03124e-17,9.79821e-06,7.77967e-17,6.80757e-06,4.84476e-32,7.58812e-16,5.10486e-28,7.6428e-20,2.18758e-13,6.4017e-29
20,8.24309e-29,1.99418e-19,1.0402e-17,1.00517e-05,7.67919e-17,6.55408e-06,5.1e-32,8.7301e-16,5.10484e-28,8.58133e-20,2.38113e-13,6.53635e-29
21,8.00402e-29,2.09555e-19,1.04716e-17,1.02893e-05,7.58001e-17,6.3165e-06,5.35524e-32,9.97003e-16,5.10481e-28,9.56764e-20,2.57935e-13,6.66138e-29
22,7.7721e-29,2.19298e-19,1.0523e-17,1.0512e-05,7.4821e-17,6.09383e-06,5.61048e-32,1.13102e-15,5.10479e-28,1.05996e-19,2.78192e-13,6.77718e-29
23,7.54711e-29,2.28633e-19,1.05581e-17,1.07207e-05,7.38546e-17,5.88512e-06,5.86572e-32,1.27526e-15,5.10476e-28,1.16751e-19,2.98856e-13,6.88413e-29
24,7.32884e-29,2.3755e-19,1.05782e-17,1.09163e-05,7.29007e-17,5.68952e-06,6.12095e-32,1.42994e-15,5.10473e-28,1.27918e-19,3.199e-13,6.98258e-29
25,7.11709e-29,2.46043e-19,1.05848e-17,1.10996e-05,7.19592e-17,5.50618e-06,6.37619e-32,1.59522e-15,5.10471e-28,1.39475e-19,3.41299e-13,7.07288e-29
26,6.91165e-29,2.54109e-19,1.05793e-17,1.12714e-05,7.10297e-17,5.33435e-06,6.63142e-32,1.77129e-15,5.10468e-28,1.51399e-19,3.63028e-13,7.15538e-29
27,6.71234e-29,2.61746e-19,1.05628e-17,1.14325e-05,7.01123e-17,5.1733e-06,6.88665e-32,1.9583e-15,5.10466e-28,1.63667e-19,3.85067e-13,7.23039e-29
28,6.51897e-29,2.68956e-19,1.05363e-17,1.15834e-05,6.92068e-17,5.02236e-06,7.14188e-32,2.15641e-15,5.10463e-28,1.76257e-19,4.07393e-13,7.29823e-29
29,6.33136e-29,2.75743e-19,1.05009e-17,1.17249e-05,6.83129e-17,4.88088e-06,7.39711e-32,2.36574e-15,5.1046e-28,1.89145e-19,4.29987e-13,7.35919e-29
30,6.14933e-29,2.82111e-19,1.04574e-17,1.18575e-05,6.74306e-17,4.74829e-06,7.65234e-32,2.58644e-15,5.10458e-28,2.0231e-19,4.52831e-13,7.41358e-29
31,5.97272e-29,2.88066e-19,1.04068e-17,1.19818e-05,6.65596e-17,4.62401e-06,7.90757e-32,2.81861e-15,5.10455e-28,2.1573e-19,4.75908e-13,7.46166e-29
32,5.80136e-29,2.93617e-19,1.03496e-17,1.20982e-05,6.57e-17,4.50753e-06,8.1628e-32,3.06238e-15,5.10453e-28,2.29384e-19,4.99202e-13,7.50371e-29
33,5.63509e-29,2.98771e-19,1.02867e-17,1.22074e-05,6.48514e-17,4.39836e-06,8.41802e-32,3.31785e-15,5.1045e-28,2.4325e-19,5.22698e-13,7.54e-29
34,5.47376e-29,3.03539e-19,1.02186e-17,1.23097e-05,6.40138e-17,4.29604e-06,8.67324e-32,3.58511e-15,5.10447e-28,2.57309e-19,5.46381e-13,7.57077e-29
35,5.31722e-29,3.0793e-19,1.0146e-17,1.24056e-05,6.3187e-17,4.20014e-06,8.92847e-32,3.86426e-15,5.10445e-28,2.71539e-19,5.70239e-13,7.59627e-29
36,5.16532e-29,3.11955e-19,1.00692e-17,1.24955e-05,6.23708e-17,4.11026e-06,9.18369e-32,4.15538e-15,5.10442e-28,2.85923e-19,5.94259e-13,7.61673e-29
37,5.01792e-29,3.15625e-19,9.98889e-18,1.25798e-05,6.15653e-17,4.02601e-06,9.43891e-32,4.45855e-15,5.1044e-28,3.00441e-19,6.18429e-13,7.63237e-29
38,4.87488e-29,3.18951e-19,9.90541e-18,1.26587e-05,6.07701e-17,3.94706e-06,9.69412e-32,4.77383e-15,5.10437e-28,3.15076e-19,6.42738e-13,7.64342e-29
39,4.73608e-29,3.21946e-19,9.81917e-18,1.27327e-05,5.99852e-17,3.87305e-06,9.94934e-32,5.10131e-15,5.10434e-28,3.2981e-19,6.67177e-13,7.65009e-29
40,4.60139e-29,3.2462e-19,9.73053e-18,1.28021e-05,5.92104e-17,3.80369e-06,1.02046e-31,5.44103e-15,5.10432e-28,3.44627e-19,6.91736e-13,7.65256e-29
41,4.47067e-29,3.26986e-19,9.63981e-18,1.28671e-05,5.84457e-17,3.73869e-06,1.04598e-31,5.79306e-15,5.10429e-28,3.5951e-19,7.16406e-13,7.65105e-29
42,4.34382e-29,3.29055e-19,9.54732e-18,1.2928e-05,5.76908e-17,3.67776e-06,1.0715e-31,6.15746e-15,5.10427e-28,3.74444e-19,7.41177e-13,7.64574e-29
43,4.22071e-29,3.30839e-19,9.45332e-18,1.29851e-05,5.69457e-17,3.62065e-06,1.09702e-31,6.53426e-15,5.10424e-28,3.89415e-19,7.66044e-13,7.63681e-29
44,4.10123e-29,3.3235e-19,9.35807e-18,1.30386e-05,5.62102e-17,3.56713e-06,1.12254e-31,6.92352e-15,5.10421e-28,4.04408e-19,7.90997e-13,7.62443e-29
45,3.98527e-29,3.336e-19,9.26179e-18,1.30888e-05,5.54841e-17,3.51696e-06,1.14806e-31,7.32527e-15,5.10419e-28,4.1941e-19,8.16031e-13,7.60877e-29
46,3.87273e-29,3.346e-19,9.16468e-18,1.31358e-05,5.47675e-17,3.46995e-06,1.17358e-31,7.73956e-15,5.10416e-28,4.34409e-19,8.41139e-13,7.59e-29
47,3.7635e-29,3.35361e-19,9.06693e-18,1.31799e-05,5.40601e-17,3.42588e-06,1.1991e-31,8.16642e-15,5.10414e-28,4.49391e-19,8.66314e-13,7.56826e-29
48,3.65748e-29,3.35893e-19,8.9687e-18,1.32212e-05,5.33619e-17,3.38458e-06,1.22462e-31,8.60589e-15,5.10411e-28,4.64346e-19,8.91551e-13,7.54371e-29
49,3.55458e-29,3.36209e-19,8.87016e-18,1.32599e-05,5.26727e-17,3.34587e-06,1.25014e-31,9.05799e-15,5.10408e-28,4.79262e-19,9.16845e-13,7.51649e-29
50,3.4547e-29,3.36318e-19,8.77143e-18,1.32962e-05,5.19924e-17,3.30959e-06,1.27566e-31,9.52274e-15,5.10406e-28,4.94129e-19,9.42191e-13,7.48674e-29
51,3.35775e-29,3.3623e-19,8.67264e-18,1.33302e-05,5.13208e-17,3.27558e-06,1.30118e-31,1.00002e-14,5.10403e-28,5.08938e-19,9.67584e-13,7.4546e-29
52,3.26364e-29,3.35956e-19,8.57391e-18,1.33621e-05,5.0658e-17,3.24371e-06,1.3267e-31,1.04903e-14,5.10401e-28,5.23678e-19,9.93019e-13,7.42019e-29
